review_date,reviewer,movie,rating,review_detail,contains_pattern
3 May 2020,contact-125-651146,Charade (1963),9.0,"An excellent cast: Cary Grant (in an superb performance), Katherine Hepburn, Walter Matthau, James Coburn, George Kennedy. All of them giving us a great performance.
***Like the trailer of this movie said***: suspense, comedy, and romance. All of them in perfect balance. I would include action.
Nothing went wrong on this movie.
and we can't forget the soundtrack, composed by Henry Mancini.
I can't understand why this movie and Cary Grant didn't get any Oscar nomination except the soundtrack.
The main title was made famous by bhave being sung by Andy Williams although his performance didn't appear in the movie.",True
4 May 2020,debdshaw60,The Half of It (I) (2020),10.0,"I felt ***like the trailer looked like a super woke film but it's not that. It's a story about friendship and self discovery. The cast is great. Especially Daniel Deimer who is utterly charming. Leah Lewis as Ellie Chu was also powerful but unfortunately, I don't think the character was very likable for at least half of the movie. Their chemistry was terrific tho.My only complaint is that where there are aspects of religion, one character's father is a minister but the church itself uses confessionals as a comedic device. Married me with children can't be priests and Protestant churches do not have confessionals. I hate things that are glaringly inaccurate. My daughter argues that nobody would notice. I said*** except anyone who has ever been to church.",True
4 May 2020,januszlvii,Column South (1953),9.0,"If you ***like Audie Murphy, you will like Column South. Murphy, plays Jed Sayer an Army lieutenant trying to keep the peace between the soldiers and the Indians. The problem is a treacherous Brig General named Storey ( Ray Collins), who knows the Civil War is coming and is for the Confederacy, and wants to stir up trouble. Besides that his Commanding Officer Captain Lee Whitlock ( Robert Sterling). Is also for the Confederacy. Yo be honest, Whitlock is a decent man, but is also weak and is easily manipulated by Storey. Jed also has a love interest, Lee's sister Marcy ( Joan Evans), who goes from a person who despises the Indians and will not eat with them (I do not call her a bigot, because she was very naive), to someone more then just a love interest. Spoilers ahead: Jed, Lee and Marcy are part of a squad ordered to leave the fort with few troops knowing the Indians will attack. However, while they are camped out, Jed finds a letter of Whitlock's explaining the plan to help the South, which will result in people dying, while the Confederates led by Whitlock head south ( hence the Title 'Column South'). Jed and the troops loyal to the Union head back to the Fort, but are ambushed by the Indians. Fortunately for Jed and the troops, Marcy explains she is embarrassed by Lee's conduct and is a Southerner with honor also, and the South would be embarrassed to win this way. Whitlock realizes she's is right, and goes back and helps defeat the Indians ( the Indians attacked because they were framed by Storey for a theft of guns and were forced off their land). Storey who was earlier captured by the Indians had to confess his crime, and the Indians went home. Then the Civil War started, and Whitlock and the other Confederates went to join the South, while Marcy stayed with Jed, The last thing Whitlock said*** is ""Take good care of her."" I like the character growth in Marcy going from someone who looked down on the Indians, to the person who by saying what she thought, saved lives, and helped her brother regain his sense of duty and honor. Again it is a very good Murphy Western. I give it 8/10 stars.",True
4 May 2020,tigersandricho,"Star Wars: The Clone Wars: Victory and Death (2020) Season 7, Episode 12",9.0,"I don't want to spoil the details of this episode but, without going into specifics, it's incredible that a series set where the audience knows most of the outcomes (due to other Star Wars media) and about events that will happen during the show (for the same reason again) is one of the most captivating pieces of SW storytelling around. Seriously good stuff. Again the score is great, character moments are beautiful, things make sense and there are bits of this episode which are un***like anything before in Star Wars. Awesome. My only issue was the episode's 20-odd minutes didn't feel enough, I was yearning for a view of other characters (yes we've seen them in other media but this show has explored so much of other characters that it felt like we needed to see where they were). The great part about this arc in particular is how self-contained they are, but with the end of the series and the event in question, I would've liked a view of what's happening elsewhere.That being said***, the episode is damn near perfect and hits all the notes it needs to, not over-reaching, not uneven with previous episodes, it's great. The last two minutes are just...wow. Great job guys.",True
4 May 2020,NirzonK,The Martian (2015),9.0,"The Martian movie is a dream come true, a faithful elucidation of the central technical dramas that made the Andy Weir novel it's based on the surprise 'space geek hit' of the decade. The tale is something of a Robinson Crusoe in space: Astronaut Mark Watney is stranded on the surface of Mars when his crew mates are forced to evacuate their habitat and blast off for Earth. Watney must improvise ways to eke out his limited resources, as the next mission to the red planet isn't scheduled to land for another four years. ***Like the book, the movie's rhythm is a steady cycle of crisis, recovery, humor, determination, and new crisis. On screen, directed by Ridley Scott, these cycles are delivered with satisfying characterization and eye-grabbing visuals of Martian landscapes and mouth-gaping zero-G gymnastics in space.As a backdrop to the human drama (and comedy), the movie's hardware is based on real engineering, not magical miracle machines. The Hermes mother ship, for example, is a modified version of the sound design strategy of a 'cycling spacecraft' that repeatedly makes the Earth-Mars-Earth loop with crew and small landing craft. (Buzz Aldrin and I wrote*** up the concept for Scientific American a decade ago.)
As the left-for-dead Watney, played by Matt Damon, faces doom in a dozen guises, he defiantly boosts his courage through styling himself as everything from the ""best botanist on Mars"" (as he ingeniously grows potatoes in carefully-created garden soil) to a ""space pirate"" (for his goal of commandeering a rescue rocket emplaced automatically elsewhere on the planet). He expresses his thoughts to his laptop log and later in messages to people on earth campaigning to rescue him. When humans finally reach other planets, we will need real ""Watneys""-those smart enough to repurpose on-hand assets in an emergency, and lucky enough not to be killed by their own inevitable oversights.Space geeks will enjoy identifying and debating technical flaws in the film. The Martian follows its source material remarkably closely, but unlike say, certain installments in the Harry Potter movie franchise, it will still make perfect sense to those who haven't read the book. Aside from the monster sandstorm that sets up the crisis (Andy Weir, the author of The Martian, is very upfront about choosing to gloss over the realities of Martian atmospheric pressure in favor of a dramatic opening), there are few noticeable factual flubs in the plot. Unlike 2013's Gravity and its magical space maneuvers, or 2014's Interstellar with its mystical time continuum tricks, this movie is a remarkably authentic exposition of what space travelers need to be able to do under crisis conditions.Run time constraints forced the movie's producers to condense and combine characters, with no real detriment to the story-although viewers might be surprised to see the same set of key NASA experts showing up at every launch or space center on the planet as the action shifts between continents. Similar story-telling imperatives probably compelled the most striking departure (spoiler alert!) from the book-changing who actually goes to rescue Watney in the end-but again, without any significant detour from the plot.There's no cheating on even highly-technical spaceflight topics, as shown in the treatment of the so-called ""Rich Purnell maneuver,"" wherein the Hermes slingshots past Earth back to Mars for a desperate pickup attempt. NASA's navigation geek Purnell-played with effective nervous energy by Donald Glover- demonstrates the ""orbitology"" of his maneuver, with two NASA officials as the planets, and a stapler and pens as spacecraft. The result is coherent, comprehensive, and surprisingly comic. The basic strategy of the Rich Purnell maneuver is not fictional-a crippled Japanese Mars probe named Nozomi actually used a similar Earth-flyby scheme to set up a second chance for its own faltering unmanned Mars mission a dozen years ago.There's one cringeworthy trope in The Martian that has apparently become an unavoidable cultural myth: the scenes where teams in Mission Control erupt into leaping cheers a few seconds after a rocket blasts off. This imaginary practice would not only be utterly unprofessional but also an indicator of near-criminal negligence. In the screening that I attended following an event at NASA's Johnson Space Center, these scenes were negatively noticed by many NASA folks in the audience. But I only can suppose it was sympathetically meant to humanize the rocket scientists, and it was the only exception to the admiration shown for all the other portrayals. (It's also possible this trope has been influenced by footage of the controllers of deep space unmanned missions in recent years, where data about events can take hours to cross the solar system, leaving controllers mostly in the position of spectators during key mission milestones.)After faithfully reproducing technically-sound crises and responses for two hours, the movie did briefly run off the track into fantasy mode at the very end, by by violating the physics of action-reaction in portraying an over-dramatized dramatic rescue attempt that really didn't need any such cheating. But if that was the price to pay for producing this otherwise magnificent space adventure story, the math checked out. Mother Nature is relentlessly unforgiving in space, but a movie audience can show a lot more mercy to one major technical transgression. I do.",True
4 May 2020,ferni-tierni,Lord of War (2005),10.0,"Scary process to follow a lord of war and see all the external forces that keep him immune from all the legal boundaries. Yuri Orlov (Nicholas Cage) dreams of power and wealth were, ultimately, accomplished, but ***like most mobster or crime stories the verdict is one of blood, tragedy, and destitution. For Yuri the American government was protecting its interests, so they released him and exonerated him from any legal charge, but he lost all emotional stability. He said*** it himself: ""My family has disowned me. My wife and son have left me. My brother's dead. I fully appreciate the seriousness of my situation.This is an ominous subject now having 1.2 billion arms in the world in 2020, but the movie left a clear message. Any person that ventures into the lifestyle of immorality and illegality will, ultimately, endure catastrophic consequences. The movie in the initial scenes offers the viewer a perspective of a bullet going through the entire production, distribution, and application process: a stark symbol of the global nature of this problem. Due to the complicated and multi-dimensional nature of the production of firearms and bullets, the main manufacturers and benefactors clean their hands from the consequences, as Yuri was doing it with different rationalization during the movie; the movie helps the viewer consolidate all these factors and understand it holistically.Nicolas Cage outdid himself with his performance. He exudes so many different emotions throughout the movie that it is difficult to hate him, knowing what he had gone through, and his background in Little Odessa. He was always ""attempting"" to take care of his family; the family values did not elude him even as he committed multiple criminality and put his brother repeatedly in danger. His reaction to pulling the trigger and committing his first kill was consistent with a person that was in denial and rationalized his entire operation with weak logic and ambiguous statements.The viewer gets so much information on gun multinational affairs that it is continually interesting to watch the narrative. He lived quadruple lives or had multiple identities being an equal opportunity merchant of death. At the peak of his enterprise we see him get embroiled with the president of Ethiopia. This is when his morality gets put to the test and reaches his threshold of depravity. The dialogue also adds memorable phrases that add flavor to the narrative and his rationality: ""Bullets change governments faster than votes""; ""I supply everyone but the Salvation Army""; ""Evil prevails when good men fail to act, what it ought to say is evil prevails"". As ominous as the dialogue is it helps us understand the mind of a person that is relentlessly searching for success in the industry of death and destruction.The movie might send a morbid message but it's a real one: the gun industry seems to be above the law and the highest players are pulling the strings and committing genocide in a global scale.",True
4 May 2020,robertandrews-44556,Don't Go in the Woods (1981),10.0,"Don't Go in the Woods (Also known by the ominous title, ""Don't Go in the Woods....Alone!"") is often considered to be the ""Plan 9 From Outer Space"" amongst slasher/horror films. It was made during the time when Slasher films were becoming massively popular. John Carpenter's ""Halloween"" had just released three years earlier, and the original Friday the 13th was released just one year prior. The popularity and cult following of Wes Craven's 1977 ""The Hills Have Eyes"" was likely a major influence on director James Bryan, as the killer in this film looks as though he is a long-lost relative of Papa Jupiter's Clan.The plot of the film (which is VERY thin) revolves around four young campers. The reluctant city boy, Peter (Jack McClelland), his girlfriend Ingrid (Mary Gail Artz), and their two friends Joanie (Angie Brown), and outdoorsman Craig (James P. Hayden). The four trek through the wilderness, apparently trying to reach a cabin somewhere in the woods (they never do reach it, by the way). As they journey through the beautiful mountains, an unseen madman is knocking off other hikers in the woods in various gory ways. He kills a honeymooning couple, a birdwatcher, a mother and son, a man in a wheelchair, and a young artist who is painting the landscape as her infant daughter lingers nearby.Pretty soon, our madman catches up to our four main characters. The killer is revealed to be a deranged wild man, dressed from head-to-toe in animal furs and wielding a nasty-looking sharp spear. Soon enough, he manages to violently kill two of our main heroes, leaving only Peter and Ingrid. Meanwhile, the local Sheriff forms a search party to look for the murdering psychopathic mountain man.***Like so many who have seen this film, I can say that the acting is atrociously bad. However, I will note that that is likely because most of the film is dubbed over. Plus, I don't think that the bad acting in this movie ruins the experience. In fact, I think it makes it all the more better. I can never stop laughing every time I watch this movie. It is just a film that makes me feel really good. I know it is strange by saying watching an apparent gory horror movie makes me happy....but truthfully, this film makes me smile bigger than any comedy film can. The sheer absurdity of this film is what really makes this a terrific movie experience. And that is not to say that there are no chilling and pretty brutal moments in the movie. The scene in which Joanie is trapped in the maniac's cabin and desperately tries to escape through a small window as the killer hacks her back to pieces with a machete was quite horrifying and brutal, and I did find myself hoping for her to escape....only to be disappointed.And even though the acting is obviously bad in this film, I did find the main four characters strangely likeable. Unlike most teen slasher flicks with characters going to a specific place for sex and partying, the four in Don't Go in the Woods seem to be going to the woods for a simple adventure away from city life with their main objective to take in all the beautiful sights before the terror begins. Having said*** that though, the scene in which Craig zips Joanie up in a sleeping bag and begins crying out obscenities was a little odd and seemingly changed his ""serious"" outdoorsman demeanor to a class clown right before he meets his bloody demise at the end of the madman's stick!I really did like Peter as the hero of the film and did find myself rooting for him at the end of the film as he and Ingrid stabbed the maniac to death. I mean, where else are you going to find a horror film hero who takes off his cool pink ripped and torn shirt and stuffs grass inside of it to try and fool the antagonist!Ever since watching this film for the first time in September of 2002, I have never forgotten it. I definitely see the influence it had on films such as the ""Wrong Turn"" franchise. And while those films definitely and undoubtedly used ""Just Before Dawn"" (another 80's classic that was released the same year as this film) as a major influence, I still believe I find a bit of ""Don't Go in the Woods"" being referenced in there subtly.When watching this film now, in 2020 (a full 18 years after I first watched it) I find myself getting that big grin on my face as the opening theme begins. It truly takes me back to my youth. A much simpler time when you could go to the video store, rent a cheesy gory horror flick, and sit back and laugh and get scared by it in the comfort of your living room. A time when you could see a film that never set out to make itself overly serious.Boy.....they sure don't make horror movies the way they used to.",True
4 May 2020,jimcheva,Lars and the Real Girl (2007),10.0,"Second to my love of Ryan Gosling's work as an actor is my trust in his taste for projects (the one exception ironically is ""Lala Land"", which, un***like most of the world, I hated). And this film confirms that. This story walks a tightrope from early on - a tightrope of credibility, of relationships, of plot progression - and yet, makes it across the abyss, triumphant. From the start Emily Mortimer's character shows such touching and completely unromantic love for her brother-in-law that it sets the film on the right track from the start. The appearance of the girl friend is both touching and hilarious, and often the film's acknowledgement of the cold reality allows for some real humor (as does a minor subplot of workplace conflict which anticipated ""The Office"" - I mean really, what kind of twisted person hangs a... but I digress). Yet, the thrust of the film is the loving support not only of those close to the main character but really of the whole town. In this sense, the film resembles ""Nebraska"" in its affectionate portrayal of small towns where everyone supports each other - no matter how strange the ask. One of the loveliest aspects of this film is how the townspeople go beyond humoring him to really embracing his mute girl friend. With this, all along, is a strong, understated***, story of healing, of taking one's time to get where one needs to go. All very confidently, quietly, laid out. Not only should lovers of good acting see this film, but certainly anyone working on a screenplay who wants to see how to expertly show love driving an unexpected story.",True
24 February 2020,MDC-IMDb,"Mythic Quest: Raven's Banquet: A Dark Quiet Death (2020) Season 1, Episode 5",9.0,"This actually made me sit up and watch. It drew me in and, ***like others have stated***, although it's a departure from the previous episodes, it resonates beautifully.",True
24 February 2020,naumanmadridista,Friends (1994–2004),10.0,Undoubtedly greatest comedy show ever. Addicted ***like never before. But additionally I'll also mention that this show can be called overrated because laughing tracks helps a lot. I'm being honest and far from biased review. If you think you can't tolerate those laughing track in background then this might not be your favorite comedy but despite that being said*** I still consider it the greatest comedy I'VE ever seen. So go ahead do watch it and laugh your ass off cos it's actually very funny too. I'm not criticising but that's definitely a point to be noticed.,True
