index,review_date,user,item,rating,review_text,contains_pattern
51,3 May 2020,burkebuilder,Brightburn (2019),1.0,"No good place to start a review for a bad movie like this. A bad cross between Superman and the Oman. A kid comes from space and crash lands on a farm (parents know this).Strange things start to happen involving him, but the parents don't seem to think it's a big deal. This movie lost me there. How can you have a son from space and not think he's capable of unusual conduct?Seems ***like some college kids got drunk and wrote*** an ""idea"" for a movie, then had some parents in good with a movie producer who gave this nonsense the green light to make. I'm so tired of bad movies that are total rip offs with a silly, cliche twist.",True
73,3 May 2020,contact-125-651146,Charade (1963),9.0,"An excellent cast: Cary Grant (in an superb performance), Katherine Hepburn, Walter Matthau, James Coburn, George Kennedy. All of them giving us a great performance.
***Like the trailer of this movie said***: suspense, comedy, and romance. All of them in perfect balance. I would include action.
Nothing went wrong on this movie.
and we can't forget the soundtrack, composed by Henry Mancini.
I can't understand why this movie and Cary Grant didn't get any Oscar nomination except the soundtrack.
The main title was made famous by bhave being sung by Andy Williams although his performance didn't appear in the movie.",True
169,4 May 2020,iansangalang,Gorgeous Knight (2011),1.0,"Like roxanasnavely, I agree that this is so bad, its good. Its just so hilarious that this was made by the same guy who made ""Joshua and the Promised Land"" (the movie). ***Like Saberspark said***, although you would expect this animator to get better after the catastrophe that was Joshua and the Promised Land in 2003, guess what? He did not.",True
664,4 May 2020,schroederagustavo,BioShock Infinite (2013 Video Game),8.0,"The world is beautiful, the characters are likeable, it's similar enough to the original game to feel like it's a part of the same franchise, yet different enough to be its own thing, it's a really good game. I thought the ending didn't make much sense at first, but I think it helps to play the DLC, which is very much worth playing as well. It's still confusing as hell, but it makes more sense if you play that. The game looks great (even in 2020) and it plays wonderfully, the gameplay is very dynamic and very cool. I love Elizabeth as a character, she's likeable and she's incredibly useful in the game (perhaps even too useful, since I never ran out of ammo in the game). And she is officially the hottest character in video game history, as far as I'm concerned. Even her voice is sexy as hell! Anyway, there are a few things, especially towards the end of the game that I wasn't in love with, like the ghost creatures that attack you reaching the final level, I still thing that's pretty weird and probably doesn't make much sense. ***Like I said***, the DLC is sweet and it changes things up quite a bit, especially in part 2, which is pretty much a stealth game (and it's really good).",True
794,4 May 2020,mossfan18,Weathering with You (2019),8.0,"First off, I think it's the most beautifully animated anime film I've ever seen. Simply breathtaking.The soundtrack was fantastic and the acting was great.My only gripe was how similar it was to Your Name.
It's ***like they said*** to themselves ""Your Name"" was a hit, so let's follow that format exactly.Similarities I saw:Teenage love
2 different backgrounds, Big city and small town
Wise cracking younger sibling
The ""will they ever see eachother again?"" Pause
The reunion ending at an older ageGranted I really enjoyed it, but it lacked originality to me. I'll watch the English dub when it comes out.Still totally worth anyone's time!",True
1022,24 February 2020,MDC-IMDb,"Mythic Quest: Raven's Banquet: A Dark Quiet Death (2020) Season 1, Episode 5",9.0,"This actually made me sit up and watch. It drew me in and, ***like others have stated***, although it's a departure from the previous episodes, it resonates beautifully.",True
1180,24 February 2020,munrogmclaren,"Supergirl: It's a Super Life (2020) Season 5, Episode 13",10.0,"This episode was truly amazing. I loved seeing all the different timelines. I'm glad that kara was able to see different outcomes if she had made different decisions.In the two we do see Lena come around in the end. In the first one, Kara died in the first one because Lena couldn't save her in time. Though I did love how Sam made sure Lena and o think even the audience knew that Lena was a hero and not a villain when she saved same and made kryptonite. Also, Kara yelled out to the TV that Lena was a villain and how could she think that and then at the end said Lena will be treated like a villain which showed me the ending scene was to get Lena to snap out of it. Kara truly doesn't think Lena is a villain. But she has the capacity to be one.In the second one, Lena died after Reign killed her, it showed that Lena will come around in the end even if it truly doesn't seem like she will. Seeing Lena die in Kara's arms was horrible. And if you notice closely, her last words are, ""Kara."" Then Mon-El went on a rampage and killed Sam while in turn getting killed himself. And Kara told Mxy to bring her back.The third one has go to be my favorite. It really showcases how it would be like if Kara and Lena a Super and a Luthor were working together. Though, I don't think Agent Liberty killing off all her friends was the right way to go. I think there could have been different outcomes. Also, why did the public have to know that Lena knew Supergirl's identity. If they didn't, I think this timeline would have played out differently. But anyways, the third timeline didn't work as well. Though it was my favorite.
I have to say, I liked Mon-El's advice to Kara regarding Lena. I hope it sticks with her.Regarding the ending, it was needed to be said. Lena's worst fear is becoming the villain and ***like Kara said***, if Lena continues down this path, she will have now choice but to treat her like one. Kara wasn't calling Lena a villain at the moment. But, having Lena hear this from her (ex) best friend, has got to hurt. I definitely think we will see Lena second guessing herself in the upcoming episodes. Robert Rovner abd Jessica Queller, Supergirl's showrunners, did an interview with Entertainment Weekly and Rovner said that we will see Lena second guessing herself and contemplating what she's doing.I truly don't think Lena will go through with Non Nocere. Yes, I know in 5x14 she moves forward with it. But who's to say at the end of the episode she stops herself? She'll have to do it quietly though because Lex definitely has plans for Non Nocere.So yes, I do think by the end of the season, Lena will have come around or be close to fully coming around. Rovner said they (Kara and Lena) will come full circle at the end end of the season. So that's my hope. That they will become friends again. This interview just cemented it.10/10 episode. Great performances by all! I loved seeing all the cameos! I've missed Odette so much! Sam was a very missed character. I'm sad Calista want able to make her schedule work to appear in the episode, but I'm glad they referenced her.I'm hopeful for the rest of the season. :)",True
1779,24 February 2020,pintaxandre,"Friends: The One with the Birth (1995) Season 1, Episode 23",8.0,"Interesting directing choices and a lot of emotion in this episode, especially at the end. But the humor is sometimes completely horrible in this episode. ***Like they said*** inTHIS episode: ""You gotta choose your moment"". If only they had applied this rule while writing the episode, it could have been so much better.",True
1993,24 February 2020,MovieBuff11732,The Call of the Wild (2020),8.0,"The Call Of The Wild is about a dog who is taken away from his family and taken to the UCON as a sled dog. When he goes there he is bumped back and fourth from many people until he gets to one man who really loves him. They go on an adventure together and go through many hard things.The Call Of The Wild is probably the best family movie of the year so far. I liked this movie. I thought it was more charming than a bunch of family movies. That is mainly do to Harrison Ford's performance. If it was another man playing his part it just wouldn't have been as good as it turned out to be. I thought all of the acting was good. The story was a little shaky I thought. The start of the movie wasn't as exciting or as good as a start should be. It didn't really grab your attention right out of the gate. The rest of the story besides besides the villain was solid. I just thought the villain was weak and I couldn't really relate to him that much. ***Like I said***, besides that the story was good. The CGI is something many people are talking about. There was a lot of it in this film. Exceptionally the animals in this film. They looked extremely shiny and cartoonish. There was some really stunning CGI but it wouldn't really feel like they were in the wild. It made me feel like the film is on a stage. They couldn't get me ensured enough to feel like I was actually in the great outdoors. Another thing I enjoyed is the score. It added some of the charm to this film. It was happy and intense when it needed to be. This is the only other film I could think of to use a banjo in its score besides Raising Arizona. I enjoyed that about this film.Overall, The Call Of The Wild was a fun film that I would recommend for families or readers of the book.",True
2511,1 September 2020,KatyKat99,Hoops (2020),10.0,"Honestly I'm sure I'm prejudice as hell but I loved this show. I've never actually watched a whole season of one of these types of shows (😬) like I usually just don't get it. God, my friend had a fit when I said I didn't ***like Rick and Morty, or Archer, but Rick and Morty was fu¢king gross (Someone said*** I should start with Pickle Rick and I literally had nightmares yes I'm a sissy) and Archer, I really didn't give much of a chance after his mom was torturing him naked (ew). But this show starred one of my vary favorite actors of all time, and if I'm completely honest he portrayed one of the first tv characters I had a crush on. Yep, when I was like 13 I thought Nick Miller from new girl was the best tv boyfriend (truthfully it him was and Captain Hook from OUAT but I digress). So once I saw this show on Netflix I was excited, but also sad because there was no way I could watch this and actually like it, but I did! For the most part, like it had plenty of ew moments but overall I really liked it. Probably not 10 stars worth but the rating being so low made me sad, I really wanted to know what happens!
Edit: Re: I'm a sissy. There was an episode with a horse I had to skip. It really freaked me out which was a shame bc that episode had Schmidt (Max Greenfield) from New Girl too and I was HYPED.",True
